bbox,category_id,image_id,supercategory,category,coco_url,id,lxmert_coordinates,llava_coordinates,iou_lxmert,iou_llava,iou_llava_vs_lxmert
"[10.58, 2.4, 638.58, 371.7]",17,442457,animal,cat,http://images.cocodataset.org/train2017/000000442457.jpg,442457,"[11.334135055541992, 38.54838180541992, 123.78048706054688, 161.76773071289062]","[0.0, 34.160000000000004, 640.0, 418.46]",0.059742766402080046,0.7972068010624251,0.05633443225132126
"[0.0, 22.55, 445.23, 316.32]",17,442603,animal,cat,http://images.cocodataset.org/train2017/000000442603.jpg,442603,"[244.28672790527344, 140.4638214111328, 273.2861022949219, 177.50119018554688]","[0.0, 44.64, 445.5, 368.28]",0.008211772168056655,0.7853696812213039,0.0074493581324492535
"[152.45, 105.68, 525.3199999999999, 386.88]",17,467197,animal,cat,http://images.cocodataset.org/train2017/000000467197.jpg,467197,"[155.65513610839844, 111.24478149414062, 292.7362365722656, 238.4890594482422]","[76.8, 153.6, 588.8000000000001, 374.40000000000003]",0.1663577679749039,0.6072812591086991,0.09790599601124289
"[108.86, 1.81, 607.52, 308.68]",17,565462,animal,cat,http://images.cocodataset.org/train2017/000000565462.jpg,565462,"[2.543213129043579, 0.0, 108.67662048339844, 449.197021484375]","[0.0, 38.4, 633.6, 326.40000000000003]",0.0,0.6714625610381797,0.15314974747835322
"[150.27, 38.48, 488.39, 421.5]",17,532491,animal,cat,http://images.cocodataset.org/train2017/000000532491.jpg,532491,"[311.3203430175781, 251.97242736816406, 353.9664001464844, 286.6292419433594]","[76.8, 76.86, 563.2, 422.73]",0.01141235348165749,0.6430706118941619,0.008785390435378123
"[0.84, 111.91, 488.17999999999995, 326.44]",17,90331,animal,cat,http://images.cocodataset.org/train2017/000000090331.jpg,90331,"[378.87701416015625, 202.19297790527344, 393.69683837890625, 221.35728454589844]","[0.0, 135.0, 495.0, 333.75]",0.0027165397977789167,0.8509807966330452,0.0028868473991567074
"[26.18, 253.19, 72.08, 280.29]",17,114776,animal,cat,http://images.cocodataset.org/train2017/000000114776.jpg,114776,"[440.9669494628906, 38.70420455932617, 584.9739379882812, 209.3061065673828]","[0.0, 0.0, 633.6, 475.2]",0.0,0.004131334653351702,0.08159730905728431
"[139.21, 32.86, 570.67, 351.91]",18,385186,animal,dog,http://images.cocodataset.org/train2017/000000385186.jpg,385186,"[22.501941680908203, 51.68272018432617, 450.4376220703125, 304.2232971191406]","[0.0, 38.519999999999996, 633.6, 385.2]",0.47027590089606436,0.6088075441204353,0.4920006883500754
"[50.0, 98.48, 500.0, 370.45000000000005]",18,245873,animal,dog,http://images.cocodataset.org/train2017/000000245873.jpg,245873,"[3.3175923824310303, 81.017822265625, 319.5841369628906, 302.4679260253906]","[0.0, 112.5, 350.0, 371.25]",0.40013947959308804,0.5708373904576437,0.5977013738802123
"[452.84, 212.11, 612.7, 260.14]",18,237881,animal,dog,http://images.cocodataset.org/train2017/000000237881.jpg,237881,"[543.89208984375, 204.77467346191406, 604.48681640625, 271.3633117675781]","[512.0, 214.83, 614.4, 279.62]",0.33062439855565284,0.4679779436305042,0.47290407967674647
"[263.52, 186.81, 340.2, 247.28]",18,122934,animal,dog,http://images.cocodataset.org/train2017/000000122934.jpg,122934,"[328.21063232421875, 174.9976348876953, 612.9188842773438, 397.7856140136719]","[262.4, 216.24, 352.0, 288.32]",0.010765990353431175,0.27310736710442063,0.025152662032969456
"[102.62, 190.28, 309.86, 477.0]",18,286932,animal,dog,http://images.cocodataset.org/train2017/000000286932.jpg,286932,"[114.36079406738281, 163.6378173828125, 291.8072204589844, 452.1763916015625]","[120.0, 210.0, 277.5, 490.0]",0.724465363075445,0.6841436646349278,0.6673293439335355
"[197.69, 387.78, 432.68, 445.37]",18,49370,animal,dog,http://images.cocodataset.org/train2017/000000049370.jpg,49370,"[183.28848266601562, 342.7630615234375, 470.10491943359375, 447.09185791015625]","[128.0, 364.8, 473.6, 446.40000000000003]",0.45226005022328064,0.4798799083435459,0.6740856374520832
"[397.87, 409.29, 440.74, 436.02000000000004]",18,524453,animal,dog,http://images.cocodataset.org/train2017/000000524453.jpg,524453,"[394.4688415527344, 402.4538879394531, 446.56707763671875, 440.0248107910156]","[371.2, 393.59999999999997, 435.20000000000005, 432.0]",0.5854334863324129,0.3076346017934563,0.3747269474177312
"[434.78, 237.42, 568.72, 373.87]",18,106616,animal,dog,http://images.cocodataset.org/train2017/000000106616.jpg,106616,"[453.11761474609375, 229.23304748535156, 601.8651123046875, 372.3388366699219]","[486.4, 259.20000000000005, 614.4, 403.2]",0.6507998161197874,0.346173856578856,0.49009825927825107
"[235.38, 231.53, 322.0, 357.32]",18,491556,animal,dog,http://images.cocodataset.org/train2017/000000491556.jpg,491556,"[225.23324584960938, 214.9264678955078, 343.6637268066406, 359.8649597167969]","[217.60000000000002, 251.71999999999997, 358.40000000000003, 373.24]",0.6347709827142706,0.4850274781519561,0.5966071756023663
"[263.87, 216.88, 285.0, 232.04999999999998]",18,98304,animal,dog,http://images.cocodataset.org/train2017/000000098304.jpg,98304,"[161.6707763671875, 237.94570922851562, 205.55322265625, 276.5360107421875]","[249.60000000000002, 228.96, 307.2, 262.88]",0.0,0.02955656260830462,0.0
"[44.7, 205.51, 640.0, 475.63]",18,483425,animal,dog,http://images.cocodataset.org/train2017/000000483425.jpg,483425,"[41.59046173095703, 16.214397430419922, 198.6051788330078, 163.25405883789062]","[0.0, 249.60000000000002, 633.6, 475.2]",0.0,0.7774495994294606,0.0
"[207.82, 182.76, 400.88, 480.0]",18,524476,animal,dog,http://images.cocodataset.org/train2017/000000524476.jpg,524476,"[6.441248893737793, 81.84620666503906, 437.80072021484375, 413.5074157714844]","[204.8, 240.0, 422.40000000000003, 422.4]",0.2857437440642947,0.5692439737687551,0.2603803706646498
"[405.06, 214.55, 430.25, 271.3]",18,106624,animal,dog,http://images.cocodataset.org/train2017/000000106624.jpg,106624,"[396.2090148925781, 207.9813995361328, 444.2186279296875, 267.20526123046875]","[420.0, 228.75, 480.0, 277.5]",0.4501624022581746,0.11130513896633704,0.19254441149433904
"[431.87, 262.58, 506.57, 320.96999999999997]",18,442450,animal,dog,http://images.cocodataset.org/train2017/000000442450.jpg,442450,"[293.57672119140625, 135.884765625, 320.0380859375, 162.608154296875]","[486.4, 267.75, 614.4, 331.5]",0.0,0.09376490397828653,0.0
"[252.2, 160.94, 330.2, 280.53999999999996]",18,32892,animal,dog,http://images.cocodataset.org/train2017/000000032892.jpg,32892,"[244.3699188232422, 159.2639617919922, 329.3290710449219, 299.45733642578125]","[230.39999999999998, 205.92, 396.8, 308.88]",0.7677681338234633,0.28198074277854174,0.37669233882488723
"[151.81, 251.56, 231.64, 282.41]",18,131087,animal,dog,http://images.cocodataset.org/train2017/000000131087.jpg,131087,"[149.80555725097656, 243.14443969726562, 243.7550506591797, 287.6127014160156]","[76.8, 261.08, 243.2, 308.15999999999997]",0.5894903525606285,0.19813304104577176,0.259916000157579
"[113.09, 115.29, 343.93, 579.42]",18,344127,animal,dog,http://images.cocodataset.org/train2017/000000344127.jpg,344127,"[91.47295379638672, 136.55596923828125, 408.6874084472656, 542.6026000976562]","[73.44, 189.72, 342.72, 581.4]",0.6590999302332959,0.7267990991034585,0.6088718141241543
"[264.43, 80.67, 451.5, 281.59]",18,385066,animal,dog,http://images.cocodataset.org/train2017/000000385066.jpg,385066,"[266.1895751953125, 62.082252502441406, 458.66204833984375, 255.58511352539062]","[300.0, 135.84, 495.0, 277.34]",0.7641744542314799,0.4900911344437017,0.4144863429278266
"[134.99, 194.16, 349.83000000000004, 563.4]",22,163840,animal,elephant,http://images.cocodataset.org/train2017/000000163840.jpg,163840,"[91.920654296875, 302.4285888671875, 168.49034118652344, 502.2340393066406]","[161.55, 160.0, 355.41, 633.6]",0.07612102255408484,0.6841282798712635,0.013116345428542276
"[76.22, 38.11, 472.83000000000004, 497.84000000000003]",22,303140,animal,elephant,http://images.cocodataset.org/train2017/000000303140.jpg,303140,"[86.21257019042969, 13.91751480102539, 405.96942138671875, 510.74761962890625]","[0.0, 84.8, 448.0, 508.79999999999995]",0.7569744872131117,0.7020672410008176,0.635795125665494
"[0.0, 82.23, 382.76, 422.67]",22,532684,animal,elephant,http://images.cocodataset.org/train2017/000000532684.jpg,532684,"[5.50452184677124, 95.64271545410156, 407.12115478515625, 382.06329345703125]","[0.0, 111.02000000000001, 371.2, 422.73]",0.7870797491886371,0.8876336295717328,0.7530791350644778
"[166.11, 175.89, 400.18, 473.59999999999997]",22,434270,animal,elephant,http://images.cocodataset.org/train2017/000000434270.jpg,434270,"[76.5085220336914, 307.25079345703125, 395.5371398925781, 480.0000305175781]","[128.0, 220.8, 448.0, 470.4]",0.44054233417877237,0.6410828454607831,0.4778917561356411
"[233.59, 104.8, 411.78999999999996, 311.55]",22,557334,animal,elephant,http://images.cocodataset.org/train2017/000000557334.jpg,557334,"[194.33665466308594, 120.43242645263672, 375.0661926269531, 318.7947998046875]","[217.60000000000002, 141.18, 486.4, 358.38]",0.5922474737213362,0.4680388003158992,0.42206801984666026
"[25.95, 149.73, 595.6800000000001, 309.73]",22,557497,animal,elephant,http://images.cocodataset.org/train2017/000000557497.jpg,557497,"[130.71917724609375, 140.88034057617188, 640.0, 449.83917236328125]","[0.0, 230.39999999999998, 633.6, 355.2]",0.42728036556563537,0.3614768631847906,0.3613919371479811
"[89.98, 78.48, 348.29, 328.88]",22,32952,animal,elephant,http://images.cocodataset.org/train2017/000000032952.jpg,32952,"[40.99807357788086, 53.954322814941406, 292.9988098144531, 306.8240966796875]","[0.0, 104.26, 358.40000000000003, 352.88]",0.5650259670271467,0.6058769951119264,0.5015234808700907
"[144.73, 256.44, 314.32, 519.25]",22,73936,animal,elephant,http://images.cocodataset.org/train2017/000000073936.jpg,73936,"[139.3043212890625, 263.6512451171875, 309.696533203125, 492.5566711425781]","[134.4, 275.2, 364.8, 588.8000000000001]",0.8242775793278216,0.5486639863599349,0.4989929438474627
"[1.08, 0.0, 520.0, 387.03]",22,8549,animal,elephant,http://images.cocodataset.org/train2017/000000008549.jpg,8549,"[580.7662963867188, 18.398983001708984, 639.8671875, 143.28463745117188]","[0.0, 0.0, 633.6, 475.2]",0.0,0.6670423976188653,0.021857702745348175
"[14.36, 23.93, 636.61, 419.3]",22,581726,animal,elephant,http://images.cocodataset.org/train2017/000000581726.jpg,581726,"[100.40315246582031, 69.82990264892578, 527.0079956054688, 375.0618896484375]","[0.0, 38.339999999999996, 640.0, 417.48]",0.52928210096605,0.9334166651112682,0.5366316034938029
"[0.96, 11.51, 467.29999999999995, 419.32]",22,377208,animal,elephant,http://images.cocodataset.org/train2017/000000377208.jpg,377208,"[6.918232440948486, 62.410552978515625, 434.53326416015625, 357.02081298828125]","[0.0, 34.160000000000004, 633.6, 418.46]",0.6624304558592761,0.7043039584283801,0.5173867204394977
"[140.42, 57.62, 550.92, 472.47]",22,237597,animal,elephant,http://images.cocodataset.org/train2017/000000237597.jpg,237597,"[173.61708068847656, 134.375732421875, 540.7011108398438, 464.2664489746094]","[166.4, 169.29000000000002, 576.0, 477.09000000000003]",0.7111010656402966,0.6484090128590647,0.7796104195726896
"[69.03, 238.74, 267.51, 615.55]",22,377157,animal,elephant,http://images.cocodataset.org/train2017/000000377157.jpg,377157,"[87.59354400634766, 2.7018473148345947, 254.24327087402344, 322.27899169921875]","[64.60000000000001, 281.6, 258.40000000000003, 627.2]",0.12198691931419656,0.8053354994969317,0.059751515069025894
"[79.1, 33.08, 454.47, 632.8100000000001]",22,549042,animal,elephant,http://images.cocodataset.org/train2017/000000549042.jpg,549042,"[76.86480712890625, 70.79537963867188, 322.4623718261719, 545.10205078125]","[86.39999999999999, 12.8, 412.8, 633.6]",0.5103368092764107,0.8437657134101423,0.5405021727158006
"[166.9, 409.8, 478.66999999999996, 531.58]",22,327735,animal,elephant,http://images.cocodataset.org/train2017/000000327735.jpg,327735,"[263.4403381347656, 437.7663879394531, 479.5436096191406, 546.4326782226562]","[230.39999999999998, 473.6, 475.2, 627.2]",0.4893832253411426,0.23125824395448177,0.33776941030752766
"[93.77, 177.31, 342.14, 335.28999999999996]",22,483458,animal,elephant,http://images.cocodataset.org/train2017/000000483458.jpg,483458,"[93.0831298828125, 164.02577209472656, 278.3402404785156, 324.1966552734375]","[51.2, 216.0, 358.40000000000003, 360.0]",0.6485958350136491,0.5502345175095277,0.37211645111326824
"[417.78, 350.55, 509.78, 424.86]",22,221223,animal,elephant,http://images.cocodataset.org/train2017/000000221223.jpg,221223,"[468.2834777832031, 108.85517883300781, 540.5040283203125, 176.37501525878906]","[422.40000000000003, 331.2, 576.0, 436.8]",0.0,0.3920197239803375,0.0
"[1.59, 439.41, 503.0, 640.0]",22,385057,animal,elephant,http://images.cocodataset.org/train2017/000000385057.jpg,385057,"[3.5020079612731934, 444.3553466796875, 438.35321044921875, 638.9593505859375]","[0.0, 460.79999999999995, 503.0, 633.6]",0.8413761115047627,0.8591118308472022,0.7794851434570158
"[236.11, 140.22, 429.3, 297.71000000000004]",23,274591,animal,bear,http://images.cocodataset.org/train2017/000000274591.jpg,274591,"[261.65869140625, 134.26483154296875, 437.45391845703125, 304.3600769042969]","[243.2, 196.79999999999998, 473.6, 331.2]",0.7782274461188736,0.44070670574454385,0.45064189295660717
"[252.27, 78.5, 441.79, 324.36]",23,421986,animal,bear,http://images.cocodataset.org/train2017/000000421986.jpg,421986,"[262.1011047363281, 102.26615905761719, 433.8447265625, 308.4311218261719]","[230.39999999999998, 128.1, 512.0, 333.06]",0.759893189588721,0.5541850067988812,0.4982937942809849
"[234.56, 142.33, 510.29, 381.68]",23,325863,animal,bear,http://images.cocodataset.org/train2017/000000325863.jpg,325863,"[223.69363403320312, 71.58452606201172, 434.2425231933594, 392.6979064941406]","[192.0, 192.15, 576.0, 380.03000000000003]",0.556961680285453,0.6000174493789845,0.39479731640603544
"[288.82, 49.29, 630.5, 242.19]",23,49184,animal,bear,http://images.cocodataset.org/train2017/000000049184.jpg,49184,"[277.3551330566406, 40.93666076660156, 633.1299438476562, 239.33248901367188]","[230.39999999999998, 89.67, 588.8000000000001, 290.36]",0.9073949121683671,0.49685875629095577,0.4860443454138727
"[160.05, 110.64, 408.18, 342.66]",23,469181,animal,bear,http://images.cocodataset.org/train2017/000000469181.jpg,469181,"[190.531982421875, 120.59781646728516, 384.0992736816406, 311.5321044921875]","[140.8, 172.07999999999998, 460.79999999999995, 363.28000000000003]",0.6419647780429463,0.5537944501855965,0.3793906435800465
"[3.84, 41.01, 470.09, 419.0]",23,567495,animal,bear,http://images.cocodataset.org/train2017/000000567495.jpg,567495,"[47.135765075683594, 46.617431640625, 459.3511962890625, 304.0964050292969]","[0.0, 76.5, 633.6, 416.5]",0.6022362027892534,0.6799654730668635,0.4119518018372655
"[157.72, 1.44, 640.0, 336.12]",23,325793,animal,bear,http://images.cocodataset.org/train2017/000000325793.jpg,325793,"[259.08111572265625, 171.26145935058594, 294.57379150390625, 198.2543487548828]","[76.8, 25.619999999999997, 633.6, 384.3]",0.0059355245367674996,0.6925362064795618,0.004797132669854557
"[228.67, 210.61, 520.99, 346.52]",23,508015,animal,bear,http://images.cocodataset.org/train2017/000000508015.jpg,508015,"[223.67111206054688, 203.22329711914062, 457.9489440917969, 339.49652099609375]","[192.0, 244.8, 512.0, 360.0]",0.7018557979446524,0.6032779566188883,0.4760333385926177
"[0.0, 2.4, 546.25, 375.54999999999995]",23,139281,animal,bear,http://images.cocodataset.org/train2017/000000139281.jpg,139281,"[0.0, 65.62606811523438, 312.1319274902344, 362.3342590332031]","[0.0, 0.0, 633.6, 422.73]",0.4543524078156607,0.7610210291803374,0.34577173700643854
"[43.81, 96.99, 202.31, 314.11]",23,542720,animal,bear,http://images.cocodataset.org/train2017/000000542720.jpg,542720,"[49.35803985595703, 123.8281478881836, 195.39486694335938, 296.98779296875]","[0.0, 130.9, 205.0, 329.12]",0.7348183256797512,0.631142993666463,0.5821018797895201
"[1.08, 215.61, 565.0200000000001, 349.06]",23,59462,animal,bear,http://images.cocodataset.org/train2017/000000059462.jpg,59462,"[84.85546875, 217.5424041748047, 414.91693115234375, 332.01263427734375]","[0.0, 249.60000000000002, 384.0, 355.2]",0.5020371983161509,0.49001245446490893,0.45926974503982776
"[159.13, 249.73, 245.25, 314.46999999999997]",23,202931,animal,bear,http://images.cocodataset.org/train2017/000000202931.jpg,202931,"[158.07521057128906, 247.87796020507812, 246.87086486816406, 328.1359558105469]","[166.4, 278.4, 268.8, 345.59999999999997]",0.7823420887336885,0.2958750580867074,0.4000076995129603
"[334.63, 213.58, 488.63, 325.8]",23,292982,animal,bear,http://images.cocodataset.org/train2017/000000292982.jpg,292982,"[327.8729553222656, 201.11695861816406, 466.2555236816406, 319.1009216308594]","[358.40000000000003, 259.20000000000005, 518.4000000000001, 355.2]",0.7043386617353632,0.36186225940463146,0.25610774325351193
"[114.8, 154.02, 334.35, 562.99]",23,522285,animal,bear,http://images.cocodataset.org/train2017/000000522285.jpg,522285,"[221.6186065673828, 181.21705627441406, 249.17684936523438, 207.43238830566406]","[134.4, 140.8, 326.40000000000003, 608.0]",0.008046036378724109,0.7776825845870218,0.008053836743983245
"[155.07, 44.97, 423.84999999999997, 354.07000000000005]",23,69747,animal,bear,http://images.cocodataset.org/train2017/000000069747.jpg,69747,"[335.9273681640625, 49.05373001098633, 370.9380187988281, 88.19286346435547]","[115.19999999999999, 96.39, 422.40000000000003, 358.02000000000004]",0.016493599059105427,0.7284313296828638,0.0
"[186.74, 187.84, 368.85, 288.32]",23,204806,animal,bear,http://images.cocodataset.org/train2017/000000204806.jpg,204806,"[186.0599365234375, 185.6985626220703, 355.3625183105469, 287.1761474609375]","[140.8, 218.28, 371.2, 321.0]",0.8943746024617351,0.43666325136588635,0.39969748813062544
"[38.76, 0.7, 272.19, 193.67999999999998]",23,286764,animal,bear,http://images.cocodataset.org/train2017/000000286764.jpg,286764,"[133.35934448242188, 126.33413696289062, 161.5822296142578, 154.5118408203125]","[60.0, 33.75, 320.0, 206.25000000000003]",0.017653793267426283,0.6064058347313274,0.01773146263649739
"[110.61, 130.64, 393.38, 299.91999999999996]",23,405527,animal,bear,http://images.cocodataset.org/train2017/000000405527.jpg,405527,"[144.85968017578125, 135.07411193847656, 377.4696960449219, 291.1622009277344]","[70.4, 166.92000000000002, 409.6, 312.44]",0.7585062998986745,0.6308095343037319,0.5090887745203974
"[224.45, 160.96, 415.91999999999996, 321.29]",20,114710,animal,sheep,http://images.cocodataset.org/train2017/000000114710.jpg,114710,"[203.90562438964844, 106.6423110961914, 403.76165771484375, 379.3011474609375]","[198.4, 195.96, 422.40000000000003, 332.28000000000003]",0.5093566693929066,0.6444356775079066,0.4714879515242888
"[200.07, 335.54, 457.0, 604.56]",20,401436,animal,sheep,http://images.cocodataset.org/train2017/000000401436.jpg,401436,"[245.12783813476562, 389.0018310546875, 457.0000305175781, 637.9208374023438]","[0.0, 371.2, 91.4, 633.6]",0.5994519563693596,0.0,0.0
"[358.88, 205.66, 540.14, 417.75]",20,565431,animal,sheep,http://images.cocodataset.org/train2017/000000565431.jpg,565431,"[525.9570922851562, 166.22085571289062, 605.8403930664062, 213.47061157226562]","[499.20000000000005, 213.0, 588.8000000000001, 255.6]",0.0026308419119076367,0.0430454378498374,0.0039110260495353755
"[320.39, 173.66, 532.68, 327.96000000000004]",20,417887,animal,sheep,http://images.cocodataset.org/train2017/000000417887.jpg,417887,"[315.55035400390625, 173.11375427246094, 523.1790771484375, 319.0535888671875]","[320.0, 210.22, 588.8000000000001, 347.32]",0.8782016999505748,0.5602531785096174,0.4909454082069507
"[210.78, 196.7, 325.84000000000003, 274.7]",20,401455,animal,sheep,http://images.cocodataset.org/train2017/000000401455.jpg,401455,"[40.789424896240234, 226.82057189941406, 313.5283203125, 361.65594482421875]","[0.0, 268.8, 371.2, 393.59999999999997]",0.12048814185069119,0.012428309935928953,0.43834439935541875
"[188.15, 351.04, 365.32, 632.58]",20,148034,animal,sheep,http://images.cocodataset.org/train2017/000000148034.jpg,148034,"[187.39852905273438, 352.04302978515625, 372.32373046875, 560.86962890625]","[196.79999999999998, 371.2, 374.40000000000003, 627.2]",0.7184049685911241,0.8263803203321722,0.6554561181247353
"[448.97, 271.51, 492.93, 348.65]",20,565875,animal,sheep,http://images.cocodataset.org/train2017/000000565875.jpg,565875,"[444.3523254394531, 271.739013671875, 495.6195983886719, 358.17254638671875]","[499.20000000000005, 288.32, 633.6, 364.64]",0.7612687681838033,0.0,0.0
"[294.19, 134.19, 465.55, 273.55]",20,197225,animal,sheep,http://images.cocodataset.org/train2017/000000197225.jpg,197225,"[290.0257263183594, 181.97027587890625, 379.03997802734375, 264.7012023925781]","[358.40000000000003, 196.79999999999998, 524.8, 316.8]",0.28976869537590605,0.2308426693255809,0.05404699852394733
"[104.97, 322.18, 452.15999999999997, 616.94]",20,270581,animal,sheep,http://images.cocodataset.org/train2017/000000270581.jpg,270581,"[96.7707290649414, 133.10879516601562, 349.96807861328125, 566.0203247070312]","[61.199999999999996, 435.20000000000005, 448.8, 633.6]",0.3924884053786706,0.5352267033458246,0.21594417110371636
"[162.51, 301.66, 272.78, 394.97]",20,49187,animal,sheep,http://images.cocodataset.org/train2017/000000049187.jpg,49187,"[156.75186157226562, 310.658935546875, 262.1378479003906, 403.2204895019531]","[115.19999999999999, 313.48, 307.2, 396.46]",0.7213626204120407,0.521358562395631,0.5161710339776735
"[189.94, 231.23, 473.46, 328.95]",20,557254,animal,sheep,http://images.cocodataset.org/train2017/000000557254.jpg,557254,"[40.87517166137695, 226.7475128173828, 447.2120056152344, 365.27716064453125]","[217.60000000000002, 288.0, 512.0, 396.8]",0.42716453692401996,0.21270232267039296,0.2514112340485797
"[236.88, 212.84, 288.53999999999996, 261.0]",20,213646,animal,sheep,http://images.cocodataset.org/train2017/000000213646.jpg,213646,"[232.12045288085938, 208.84849548339844, 279.44866943359375, 252.0403594970703]","[230.39999999999998, 259.20000000000005, 307.2, 316.8]",0.5827646482134303,0.013637328371872646,0.0
"[168.75, 238.01, 370.43, 318.14]",20,16448,animal,sheep,http://images.cocodataset.org/train2017/000000016448.jpg,16448,"[57.424007415771484, 223.9038848876953, 374.9471740722656, 418.9263610839844]","[135.0, 275.0, 330.0, 440.0]",0.260974390460383,0.1681112563415594,0.4250211566285251
"[195.29, 191.32, 448.14, 405.11]",20,147976,animal,sheep,http://images.cocodataset.org/train2017/000000147976.jpg,147976,"[196.04916381835938, 263.3873291015625, 257.8109436035156, 391.7795715332031]","[179.20000000000002, 230.39999999999998, 486.4, 412.8]",0.1466926119035249,0.6701911963193379,0.14151827990767957
"[244.47, 198.08, 510.84000000000003, 369.57000000000005]",20,57498,animal,sheep,http://images.cocodataset.org/train2017/000000057498.jpg,57498,"[243.56219482421875, 172.42416381835938, 537.6627807617188, 397.5028991699219]","[294.40000000000003, 238.56000000000003, 563.2, 357.84]",0.6900709654701456,0.49719437591762694,0.4190583754278783
"[166.13, 5.65, 320.97, 187.1]",20,409808,animal,sheep,http://images.cocodataset.org/train2017/000000409808.jpg,409808,"[152.23695373535156, 5.494551658630371, 309.3113708496094, 240.2235107421875]","[145.0, 30.0, 340.0, 210.00000000000003]",0.6664104496088421,0.6258076270671474,0.6470399817394288
"[149.23, 230.72, 192.6, 271.53]",20,508516,animal,sheep,http://images.cocodataset.org/train2017/000000508516.jpg,508516,"[181.59840393066406, 215.0056915283203, 230.4671173095703, 257.42266845703125]","[115.19999999999999, 240.0, 230.39999999999998, 297.6]",0.08277549994834814,0.19429629774031035,0.10820056810707497
"[220.76, 129.19, 436.5, 266.33]",20,16520,animal,sheep,http://images.cocodataset.org/train2017/000000016520.jpg,16520,"[225.26950073242188, 104.64956665039062, 479.0187072753906, 312.6747131347656]","[217.60000000000002, 174.6, 512.0, 291.0]",0.5424275100556831,0.44910629961660165,0.5135161855636846
